Mes,Dia,Ano,Datos
1,1,1954,20.5
1,2,1954,21.5
1,3,1954,22.5
1,4,1954,24
1,5,1954,22.5
1,6,1954,20.25
1,7,1954,20.5
1,8,1954,21
1,9,1954,21.75
1,10,1954,23
1,11,1954,19.5
1,12,1954,18.25
1,13,1954,19.5
1,14,1954,21
1,15,1954,22.5
1,16,1954,22.75
1,17,1954,19.5
1,18,1954,21.25
1,19,1954,23.25
1,20,1954,24.75
1,21,1954,22.5
1,22,1954,22
1,23,1954,22
1,24,1954,22.25
1,25,1954,24
1,26,1954,22.75
1,27,1954,24
1,28,1954,22.25
1,29,1954,19.25
1,30,1954,20.25
1,31,1954,21.5
2,1,1954,22.1
2,2,1954,23.75
2,3,1954,22
2,4,1954,21.6
2,5,1954,20.1
2,6,1954,20.25
2,7,1954,19.6
2,8,1954,18.85
2,9,1954,18.5
2,10,1954,22.6
2,11,1954,21.5
2,12,1954,21.5
2,13,1954,20.5
2,14,1954,19.6
2,15,1954,18.75
2,16,1954,21.5
2,17,1954,19.75
2,18,1954,19.25
2,19,1954,18.35
2,20,1954,22.85
2,21,1954,20.25
2,22,1954,21.25
2,23,1954,21.5
2,24,1954,20.85
2,25,1954,22.25
2,26,1954,19.25
2,27,1954,18.35
2,28,1954,21.75
3,1,1954,18.25
3,2,1954,18
3,3,1954,21
3,4,1954,19.25
3,5,1954,21.75
3,6,1954,19.75
3,7,1954,16.25
3,8,1954,17.75
3,9,1954,19.5
3,10,1954,19.7
3,11,1954,21.6
3,12,1954,20.5
3,13,1954,20.5
3,14,1954,20
3,15,1954,16
3,16,1954,18.75
3,17,1954,21
3,18,1954,23.5
3,19,1954,18.5
3,20,1954,17
3,21,1954,16
3,22,1954,19.1
3,23,1954,16.75
3,24,1954,15.5
3,25,1954,21.5
3,26,1954,15.25
3,27,1954,20.75
3,28,1954,17.25
3,29,1954,16
3,30,1954,20
3,31,1954,21.25
4,1,1954,20.9
4,2,1954,22
4,3,1954,20.6
4,4,1954,20
4,5,1954,20
4,6,1954,20
4,7,1954,20
4,8,1954,22.75
4,9,1954,21
4,10,1954,19.75
4,11,1954,21.5
4,12,1954,22.5
4,13,1954,20
4,14,1954,21.5
4,15,1954,21
4,16,1954,19
4,17,1954,21.5
4,18,1954,21.35
4,19,1954,18.75
4,20,1954,20.5
4,21,1954,20
4,22,1954,19
4,23,1954,20.75
4,24,1954,20.25
4,25,1954,22.75
4,26,1954,22.5
4,27,1954,20.6
4,28,1954,22.25
4,29,1954,21.25
4,30,1954,21
5,1,1954,19
5,2,1954,20.1
5,3,1954,21.1
5,4,1954,22.25
5,5,1954,20.85
5,6,1954,21.6
5,7,1954,21.85
5,8,1954,21.6
5,9,1954,22.25
5,10,1954,22
5,11,1954,20.25
5,12,1954,18.75
5,13,1954,20.5
5,14,1954,19.75
5,15,1954,18.75
5,16,1954,18.75
5,17,1954,18.65
5,18,1954,23.5
5,19,1954,22
5,20,1954,19.25
5,21,1954,22.5
5,22,1954,19.5
5,23,1954,19.25
5,24,1954,22
5,25,1954,20.25
5,26,1954,21.25
5,27,1954,19.75
5,28,1954,19.75
5,29,1954,19.6
5,30,1954,21.5
5,31,1954,20.6
6,1,1954,18.5
6,2,1954,20.6
6,3,1954,21.1
6,4,1954,21.6
6,5,1954,20.85
6,6,1954,21.5
6,7,1954,21.85
6,8,1954,21.35
6,9,1954,19.25
6,10,1954,22
6,11,1954,22.85
6,12,1954,19.5
6,13,1954,19.1
6,14,1954,20.6
6,15,1954,22.25
6,16,1954,22.1
6,17,1954,19
6,18,1954,20.25
6,19,1954,19.75
6,20,1954,19.75
6,21,1954,20.5
6,22,1954,19.75
6,23,1954,20.25
6,24,1954,21.1
6,25,1954,21.75
6,26,1954,21.5
6,27,1954,20.25
6,28,1954,20.35
6,29,1954,20.25
6,30,1954,21.5
7,1,1954,21
7,2,1954,19.75
7,3,1954,20.1
7,4,1954,21.75
7,5,1954,21.35
7,6,1954,20
7,7,1954,22.25
7,8,1954,20.25
7,9,1954,22.25
7,10,1954,20.5
7,11,1954,20.5
7,12,1954,21.25
7,13,1954,21.5
7,14,1954,21
7,15,1954,20.25
7,16,1954,20.75
7,17,1954,21.25
7,18,1954,19.75
7,19,1954,21.5
7,20,1954,20.5
7,21,1954,20.25
7,22,1954,22.25
7,23,1954,20.75
7,24,1954,20.5
7,25,1954,22
7,26,1954,19.75
7,27,1954,19.1
7,28,1954,20.85
7,29,1954,20.35
7,30,1954,21.25
7,31,1954,21.25
8,1,1954,18.75
8,2,1954,20.1
8,3,1954,20
8,4,1954,22
8,5,1954,20
8,6,1954,21.75
8,7,1954,22.1
8,8,1954,19.75
8,9,1954,20.5
8,10,1954,20.75
8,11,1954,21
8,12,1954,20.6
8,13,1954,22.25
8,14,1954,19
8,15,1954,20.25
8,16,1954,21
8,17,1954,22.25
8,18,1954,21
8,19,1954,20.5
8,20,1954,20.5
8,21,1954,20.5
8,22,1954,20.75
8,23,1954,20.5
8,24,1954,22
8,25,1954,20.75
8,26,1954,20.75
8,27,1954,22
8,28,1954,21
8,29,1954,20
8,30,1954,21.25
8,31,1954,20.25
9,1,1954,19
9,2,1954,20.1
9,3,1954,21.1
9,4,1954,22.25
9,5,1954,20.85
9,6,1954,21.6
9,7,1954,21.85
9,8,1954,21.6
9,9,1954,22.25
9,10,1954,22
9,11,1954,20.25
9,12,1954,19
9,13,1954,20.5
9,14,1954,19.5
9,15,1954,19
9,16,1954,18.75
9,17,1954,18.75
9,18,1954,21.75
9,19,1954,21.75
9,20,1954,19.25
9,21,1954,21.25
9,22,1954,18.5
9,23,1954,19.25
9,24,1954,21.6
9,25,1954,21.75
9,26,1954,20.75
9,27,1954,19.5
9,28,1954,19.35
9,29,1954,20.6
9,30,1954,22.1
10,1,1954,19.6
10,2,1954,20
10,3,1954,20.2
10,4,1954,21.25
10,5,1954,22.75
10,6,1954,19.25
10,7,1954,20.25
10,8,1954,19.5
10,9,1954,21.25
10,10,1954,21
10,11,1954,19.9
10,12,1954,21
10,13,1954,20.75
10,14,1954,21.75
10,15,1954,23.5
10,16,1954,22
10,17,1954,21.75
10,18,1954,19
10,19,1954,19
10,20,1954,21
10,21,1954,22.5
10,22,1954,21.5
10,23,1954,20.25
10,24,1954,20.25
10,25,1954,22.5
10,26,1954,19.5
10,27,1954,20.5
10,28,1954,19.5
10,29,1954,21.25
10,30,1954,19.75
10,31,1954,21.25
11,1,1954,21
11,2,1954,19.5
11,3,1954,19
11,4,1954,20.75
11,5,1954,20.75
11,6,1954,21
11,7,1954,21.75
11,8,1954,20.5
11,9,1954,20
11,10,1954,20.6
11,11,1954,21.25
11,12,1954,21.35
11,13,1954,21
11,14,1954,22.5
11,15,1954,23.25
11,16,1954,19
11,17,1954,20.5
11,18,1954,22
11,19,1954,21
11,20,1954,20.1
11,21,1954,22.5
11,22,1954,21.75
11,23,1954,21.5
11,24,1954,19.5
11,25,1954,21.5
11,26,1954,22
11,27,1954,21.75
11,28,1954,21
11,29,1954,21
11,30,1954,21
12,1,1954,21.5
12,2,1954,20
12,3,1954,19.5
12,4,1954,21.5
12,5,1954,20.75
12,6,1954,22.25
12,7,1954,21.15
12,8,1954,21
12,9,1954,19.5
12,10,1954,21.5
12,11,1954,19.25
12,12,1954,20.6
12,13,1954,20.15
12,14,1954,20.25
12,15,1954,20.25
12,16,1954,19.5
12,17,1954,21
12,18,1954,22.5
12,19,1954,22.5
12,20,1954,21
12,21,1954,21
12,22,1954,20.5
12,23,1954,21
12,24,1954,19.75
12,25,1954,21
12,26,1954,21
12,27,1954,20
12,28,1954,21.5
12,29,1954,20.5
12,30,1954,21.5
12,31,1954,21.75
1,1,1955,21.75
1,2,1955,20.25
1,3,1955,20
1,4,1955,20
1,5,1955,21.5
1,6,1955,19
1,7,1955,20.65
1,8,1955,20.5
1,9,1955,21.6
1,10,1955,20
1,11,1955,20.5
1,12,1955,21
1,13,1955,20.5
1,14,1955,22.1
1,15,1955,22
1,16,1955,20
1,17,1955,20.5
1,18,1955,20.5
1,19,1955,21.25
1,20,1955,21.75
1,21,1955,21.75
1,22,1955,21
1,23,1955,21.25
1,24,1955,21.25
1,25,1955,22.6
1,26,1955,21.75
1,27,1955,20.75
1,28,1955,21.15
1,29,1955,20
1,30,1955,21
1,31,1955,21.5
2,1,1955,18.6
2,2,1955,21.25
2,3,1955,21.5
2,4,1955,21
2,5,1955,19
2,6,1955,19.75
2,7,1955,21.25
2,8,1955,20
2,9,1955,21.25
2,10,1955,20.9
2,11,1955,20
2,12,1955,20.5
2,13,1955,20.5
2,14,1955,20.5
2,15,1955,21.5
2,16,1955,20.5
2,17,1955,21.5
2,18,1955,22
2,19,1955,18.5
2,20,1955,19.5
2,21,1955,19.5
2,22,1955,20
2,23,1955,21
2,24,1955,22.5
2,25,1955,22
2,26,1955,21.5
2,27,1955,21.25
2,28,1955,21.75
3,1,1955,20.5
3,2,1955,20.5
3,3,1955,20.5
3,4,1955,19.5
3,5,1955,20.75
3,6,1955,21.5
3,7,1955,21.25
3,8,1955,20.5
3,9,1955,19.25
3,10,1955,19.6
3,11,1955,21.1
3,12,1955,20.5
3,13,1955,19
3,14,1955,21.25
3,15,1955,19.75
3,16,1955,21
3,17,1955,20
3,18,1955,21.25
3,19,1955,20
3,20,1955,20.5
3,21,1955,21.5
3,22,1955,20
3,23,1955,20.5
3,24,1955,20.6
3,25,1955,21.25
3,26,1955,20.25
3,27,1955,19.75
3,28,1955,20
3,29,1955,21.55
3,30,1955,21
3,31,1955,20
4,1,1955,21.5
4,2,1955,20
4,3,1955,20.75
4,4,1955,20.1
4,5,1955,20.75
4,6,1955,20.25
4,7,1955,20.5
4,8,1955,22.5
4,9,1955,23.25
4,10,1955,20.5
4,11,1955,20.75
4,12,1955,22
4,13,1955,20.25
4,14,1955,19
4,15,1955,21.5
4,16,1955,19.75
4,17,1955,22
4,18,1955,22.5
4,19,1955,20
4,20,1955,22
4,21,1955,20
4,22,1955,21.5
4,23,1955,19.6
4,24,1955,20.5
4,25,1955,22.5
4,26,1955,20
4,27,1955,19.5
4,28,1955,21
4,29,1955,21
4,30,1955,20
5,1,1955,27
5,2,1955,27
5,3,1955,25.25
5,4,1955,24
5,5,1955,27.5
5,6,1955,24.75
5,7,1955,27.25
5,8,1955,26
5,9,1955,26
5,10,1955,25.5
5,11,1955,27
5,12,1955,27
5,13,1955,25.5
5,14,1955,27.5
5,15,1955,26.5
5,16,1955,25
5,17,1955,24
5,18,1955,25.5
5,19,1955,26.1
5,20,1955,27.5
5,21,1955,27.5
5,22,1955,26.5
5,23,1955,27
5,24,1955,26.5
5,25,1955,27
5,26,1955,26.5
5,27,1955,26.75
5,28,1955,26.5
5,29,1955,27.25
5,30,1955,25
5,31,1955,27
6,1,1955,22
6,2,1955,22
6,3,1955,25.25
6,4,1955,27.25
6,5,1955,23
6,6,1955,25.5
6,7,1955,22.5
6,8,1955,21.5
6,9,1955,23
6,10,1955,27
6,11,1955,26
6,12,1955,24
6,13,1955,23
6,14,1955,23
6,15,1955,22
6,16,1955,26.5
6,17,1955,23.5
6,18,1955,22
6,19,1955,22.5
6,20,1955,27.5
6,21,1955,26
6,22,1955,20.5
6,23,1955,22
6,24,1955,25.25
6,25,1955,23.5
6,26,1955,22.5
6,27,1955,25.5
6,28,1955,22.5
6,29,1955,22
6,30,1955,26
7,1,1955,21.5
7,2,1955,20.5
7,3,1955,19.5
7,4,1955,22.5
7,5,1955,21.5
7,6,1955,23
7,7,1955,22
7,8,1955,25.5
7,9,1955,26.5
7,10,1955,21
7,11,1955,22.5
7,12,1955,21.5
7,13,1955,22.5
7,14,1955,26
7,15,1955,23
7,16,1955,22
7,17,1955,23
7,18,1955,21.5
7,19,1955,26
7,20,1955,23
7,21,1955,23
7,22,1955,26.5
7,23,1955,25.5
7,24,1955,21.5
7,25,1955,22.5
7,26,1955,21.5
7,27,1955,25.5
7,28,1955,22
7,29,1955,23
7,30,1955,24.5
7,31,1955,22.5
8,1,1955,22
8,2,1955,21
8,3,1955,20.5
8,4,1955,22
8,5,1955,22
8,6,1955,22
8,7,1955,22.5
8,8,1955,26
8,9,1955,23.5
8,10,1955,23.5
8,11,1955,22
8,12,1955,21.5
8,13,1955,22
8,14,1955,26
8,15,1955,26.5
8,16,1955,24
8,17,1955,22.5
8,18,1955,24
8,19,1955,26
8,20,1955,20.5
8,21,1955,23.25
8,22,1955,25.5
8,23,1955,22.5
8,24,1955,24.25
8,25,1955,22.5
8,26,1955,21.5
8,27,1955,22
8,28,1955,23
8,29,1955,22.5
8,30,1955,22.5
8,31,1955,25.5
9,1,1955,22
9,2,1955,21
9,3,1955,22.25
9,4,1955,21
9,5,1955,21.5
9,6,1955,22.5
9,7,1955,26.5
9,8,1955,22.75
9,9,1955,22
9,10,1955,20.5
9,11,1955,22.25
9,12,1955,25.5
9,13,1955,24
9,14,1955,22
9,15,1955,21.75
9,16,1955,22
9,17,1955,22.25
9,18,1955,21
9,19,1955,23
9,20,1955,21
9,21,1955,22.25
9,22,1955,25.5
9,23,1955,22.5
9,24,1955,22.75
9,25,1955,21.5
9,26,1955,23
9,27,1955,22.5
9,28,1955,21.5
9,29,1955,20.5
9,30,1955,22.25
10,1,1955,21
10,2,1955,21.5
10,3,1955,22.25
10,4,1955,21.5
10,5,1955,23
10,6,1955,26.5
10,7,1955,26
10,8,1955,23
10,9,1955,22.5
10,10,1955,22.25
